mexican_concentration,cos_fatigue,texian_casualties_mean,texian_casualties_std,texian_casualties_min,texian_casualties_max,mexican_casualties_mean,mexican_casualties_std,mexican_casualties_min,mexican_casualties_max,mexican_captured_mean,mexican_captured_std,mexican_captured_min,mexican_captured_max,cos_remaining_mean,cos_remaining_std,cos_remaining_min,cos_remaining_max,battle_duration_minutes_mean,battle_duration_minutes_std,battle_duration_minutes_min,battle_duration_minutes_max,texian_side_morale_mean,texian_side_morale_std,texian_side_morale_min,texian_side_morale_max,mexican_side_morale_mean,mexican_side_morale_std,mexican_side_morale_min,mexican_side_morale_max,texian_win_rate,runs
20,70,102.33333333333333,31.390019645316144,67.0,127.0,556.6666666666666,22.678918257565407,531.0,574.0,644.6666666666666,23.245071162148182,627.0,671.0,45.333333333333336,2.0816659994661335,43.0,47.0,22.766666666666666,0.6429100507328622,22.3,23.5,92.9396056273946,0.7629359850643785,92.3283560122062,93.79464079915677,0.0,0.0,0.0,0.0,1.0,3
20,80,63.666666666666664,38.68246803570492,23.0,100.0,536.6666666666666,29.022979401387,517.0,570.0,664.6666666666666,28.448784391135806,632.0,684.0,45.0,2.0,43.0,47.0,22.53333333333333,0.5507570547286109,22.0,23.1,92.9806543310334,0.6032229377430192,92.515290541755,93.66217396956304,0.0,0.0,0.0,0.0,1.0,3
20,90,85.66666666666667,27.934447074057744,61.0,116.0,536.0,21.79449471770337,511.0,551.0,665.0,21.79449471770337,650.0,690.0,42.666666666666664,2.0816659994661335,41.0,45.0,22.46666666666667,0.2516611478423566,22.2,22.7,92.61344692231677,0.7526046706411778,91.91235647200736,93.40870320606416,0.0,0.0,0.0,0.0,1.0,3
20,100,65.66666666666667,53.25723737984663,22.0,125.0,556.0,26.0,526.0,572.0,645.0,26.0,629.0,675.0,47.0,1.0,46.0,48.0,22.53333333333333,0.6658328118479391,21.8,23.1,92.57352204306618,0.893370995500504,91.71585233493607,93.49875768220168,0.0,0.0,0.0,0.0,1.0,3
30,0,485.3333333333333,74.20467191042175,441.0,571.0,964.0,40.11234224026316,932.0,1009.0,238.0,39.153543900903784,194.0,269.0,36.666666666666664,6.658328118479393,29.0,41.0,28.46666666666667,1.331665623695877,27.6,30.0,95.66741031890473,1.3356468459355206,94.50693596145705,97.12737867607872,4.068283838578698,7.046474308029647,0.0,12.204851515736095,1.0,3
30,10,422.3333333333333,35.50117368951811,387.0,458.0,954.6666666666666,26.274195198584742,925.0,975.0,246.66666666666666,25.890796305508513,227.0,276.0,43.333333333333336,2.0816659994661326,41.0,45.0,25.099999999999998,0.26457513110645864,24.8,25.3,92.53059864371126,1.5064768737476426,91.1205986270472,94.11786705558724,0.25585500040263803,0.4431538600679247,0.0,0.7675650012079142,1.0,3
30,20,429.6666666666667,92.12129685004079,332.0,515.0,920.3333333333334,38.070110760717974,881.0,957.0,281.3333333333333,37.11244175924475,246.0,320.0,42.666666666666664,2.0816659994661326,41.0,45.0,26.5,0.692820323027552,26.1,27.3,95.53120669530243,1.1174746005031262,94.27749985476642,96.42247239074794,0.0,0.0,0.0,0.0,1.0,3
30,30,306.3333333333333,35.725807665234576,266.0,334.0,862.0,19.697715603592208,846.0,884.0,340.3333333333333,20.40424792373718,318.0,358.0,43.666666666666664,1.154700538379251,43.0,45.0,24.633333333333336,0.25166114784235816,24.4,24.9,94.45409180554886,0.6224696988217925,93.74614980498328,94.9156830587011,0.0,0.0,0.0,0.0,1.0,3
30,40,260.0,7.211102550927978,254.0,268.0,760.6666666666666,34.03429642777022,734.0,799.0,440.6666666666667,33.471380810079125,403.0,467.0,47.0,1.0,46.0,48.0,24.933333333333334,0.6027713773341704,24.3,25.5,95.79094021221722,1.2261162360553908,94.64921097081104,97.0868577818883,0.0,0.0,0.0,0.0,1.0,3
30,50,144.33333333333334,75.0821772016058,63.0,211.0,687.0,15.588457268119896,669.0,696.0,514.3333333333334,16.16580753730953,505.0,533.0,45.333333333333336,2.081665999466132,43.0,47.0,23.866666666666664,1.1930353445448836,22.5,24.7,93.63364296354568,0.4009871705932255,93.22922522305404,94.03110917516972,0.0,0.0,0.0,0.0,1.0,3
30,60,212.0,78.54298186343577,124.0,275.0,684.3333333333334,14.294521094927724,672.0,700.0,517.3333333333334,15.176736583776268,501.0,531.0,47.333333333333336,1.5275252316519468,46.0,49.0,25.5,1.3453624047073713,24.0,26.6,95.47176027155972,1.5123830123990178,93.75399669258393,96.6031647046047,0.0,0.0,0.0,0.0,1.0,3
30,70,155.66666666666666,95.73052456418138,70.0,259.0,629.3333333333334,56.7655999116836,576.0,689.0,573.0,56.824290580701486,513.0,626.0,46.666666666666664,1.5275252316519456,45.0,48.0,24.0,1.0148891565092237,23.1,25.1,94.93691182711369,2.5941818698140993,93.02332272054365,97.88955510264309,0.0,0.0,0.0,0.0,1.0,3
30,80,154.0,71.58212067269312,72.0,204.0,617.0,47.82258880487337,580.0,671.0,584.3333333333334,47.25815626252608,531.0,621.0,46.666666666666664,0.5773502691896247,46.0,47.0,23.766666666666666,0.3511884584284261,23.4,24.1,94.90187189352042,1.9006825877643292,92.73473161663,96.28581107937232,0.0,0.0,0.0,0.0,1.0,3
30,90,152.33333333333334,69.16887546673962,74.0,205.0,618.0,29.614185789921695,590.0,649.0,583.6666666666666,29.143323992525872,553.0,611.0,47.666666666666664,1.1547005383792526,47.0,49.0,24.0,0.26457513110645914,23.8,24.3,94.17408796061478,2.1552456861162352,92.0010835253063,96.31112469013424,0.0,0.0,0.0,0.0,1.0,3
30,100,213.0,73.77669008569035,152.0,295.0,642.3333333333334,21.455380055672133,628.0,667.0,560.6666666666666,22.368132093076827,535.0,576.0,46.0,1.0,45.0,47.0,24.666666666666668,0.5686240703077317,24.2,25.3,95.02887269359358,0.5186334965581747,94.68969498542664,95.62589524483268,0.0,0.0,0.0,0.0,1.0,3
40,0,591.6666666666666,30.435724623102598,557.0,614.0,998.0,33.18132004607411,963.0,1029.0,205.0,34.17601498127012,173.0,241.0,35.333333333333336,7.3711147958319945,27.0,41.0,29.833333333333332,1.530795000427339,28.9,31.6,93.98959752552328,1.401952253590081,92.51774289003622,95.30922259925252,26.108977173881467,12.342454516668361,16.561550107477657,40.0462686548504,1.0,3
40,10,669.0,32.41913015489465,634.0,698.0,1014.3333333333334,30.664855018951798,982.0,1043.0,191.0,28.844410203711913,167.0,223.0,32.0,9.643650760992955,25.0,43.0,32.699999999999996,1.5524174696260042,31.2,34.3,96.84982350906493,0.498880002416224,96.3602356788596,97.3575034720989,13.596715013906481,10.312247962557866,1.7052971843835958,20.079168322264923,1.0,3
40,20,604.3333333333334,132.7943271880743,451.0,682.0,966.0,39.03844259188627,928.0,1006.0,235.66666666666666,40.01666319589046,195.0,275.0,42.0,6.557438524302,35.0,48.0,31.299999999999997,2.179449471770336,28.8,32.8,95.96774144400462,0.19208913181741125,95.81591438895298,96.18368940864548,4.9273501538587645,4.911108565273247,0.0,9.822054372088443,1.0,3
40,30,441.6666666666667,72.83085426749665,376.0,520.0,929.3333333333334,61.88968680913917,860.0,979.0,274.0,63.66317616958802,222.0,345.0,43.666666666666664,6.806859285554045,36.0,49.0,26.7,0.9539392014169443,25.6,27.3,95.82038183122806,1.6746820245313827,94.66629940650584,97.74116044390182,0.7442954026087532,1.2891574531582934,0.0,2.2328862078262595,1.0,3
