run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
3,30,90,74.0,590.0,611.0,49.0,23.8,92.0010835253063,0.0,True
1,90,30,841.0,119.0,3.0,473.0,23.4,82.28679279156924,95.5932261052342,False
2,90,30,839.0,303.0,2.0,497.0,25.4,86.88960577387923,97.18146542544982,False
3,90,30,838.0,345.0,2.0,489.0,26.8,91.78762377131731,97.34947696573546,False
1,90,20,836.0,120.0,5.0,491.0,22.2,75.0306880481965,97.171570808283,False
2,90,20,838.0,300.0,2.0,495.0,26.7,93.34227965058902,98.7261403920093,False
3,90,20,840.0,157.0,1.0,478.0,22.0,74.47533121025472,95.91685249813168,False
1,30,80,72.0,580.0,621.0,47.0,23.4,92.73473161663,0.0,True
2,30,80,186.0,671.0,531.0,47.0,24.1,96.28581107937232,0.0,True
3,30,80,204.0,600.0,601.0,46.0,23.8,95.68507298455894,0.0,True
1,0,0,16.0,542.0,659.0,35.0,20.7,89.65735436093793,0.0,True
2,0,0,20.0,615.0,586.0,34.0,20.1,88.14026424425734,0.0,True
3,0,0,14.0,489.0,713.0,32.0,21.2,89.4028194617136,0.0,True
1,80,30,844.0,203.0,1.0,483.0,23.0,76.07275030820168,89.7738123826535,False
2,80,30,839.0,128.0,2.0,476.0,22.1,76.50328261508388,89.65748348732622,False
3,80,30,838.0,164.0,2.0,485.0,22.0,72.66374815837871,91.80816083244989,False
1,20,90,80.0,551.0,650.0,41.0,22.2,93.40870320606416,0.0,True
2,20,90,61.0,511.0,690.0,42.0,22.5,91.91235647200736,0.0,True
3,20,90,116.0,546.0,655.0,45.0,22.7,92.51928108887878,0.0,True
1,90,0,844.0,200.0,3.0,473.0,23.3,75.61379744083403,97.7338508624366,False
2,90,0,838.0,100.0,1.0,492.0,21.5,75.42543746898053,96.8585840896423,False
3,90,0,847.0,99.0,0.0,497.0,22.5,78.01410473108552,96.9865312915932,False
1,70,60,837.0,702.0,23.0,304.0,29.9,99.0313453008661,53.35995629025516,False
2,70,60,836.0,578.0,19.0,300.0,28.4,94.46350925593308,66.6409507785637,False
3,70,60,836.0,341.0,30.0,342.0,25.2,83.06048231126441,71.99701311664978,False
1,50,0,836.0,709.0,112.0,305.0,40.3,91.80993198606942,91.77837030328745,False
2,50,0,843.0,1027.0,133.0,70.0,0.0,95.96330344896695,63.16412796085355,False
3,50,0,771.0,1108.0,95.0,29.0,43.5,99.98928552976824,11.10486633408493,True
1,0,60,0.0,404.0,799.0,44.0,19.7,85.86460371225398,0.0,True
2,0,60,0.0,351.0,853.0,39.0,19.3,86.19645154690686,0.0,True
3,0,60,0.0,389.0,812.0,42.0,19.3,86.49854531099422,0.0,True
1,30,40,254.0,799.0,403.0,47.0,25.0,97.0868577818883,0.0,True
2,30,40,258.0,734.0,467.0,48.0,24.3,95.63675188395231,0.0,True
3,30,40,268.0,749.0,452.0,46.0,25.5,94.64921097081104,0.0,True
1,50,10,836.0,738.0,91.0,299.0,30.5,92.7661865151859,76.90002874497804,False
2,50,10,669.0,1062.0,139.0,49.0,34.1,95.48795720821197,21.357837064384984,True
3,50,10,819.0,1064.0,137.0,28.0,48.7,98.90514882185325,16.67641037695562,True
1,20,50,84.0,585.0,617.0,44.0,22.8,92.71116823255988,0.0,True
2,20,50,79.0,557.0,644.0,45.0,23.5,93.71343858536852,0.0,True
3,20,50,162.0,645.0,556.0,47.0,23.0,92.19716443959838,0.0,True
1,10,30,43.0,503.0,698.0,41.0,22.6,91.76384652283411,0.0,True
2,10,30,35.0,538.0,663.0,46.0,21.3,90.6375146086493,0.0,True
